CUST_NO,RM,LSTAT,PTRATIO,IS_TARGET
1.10E+17,6.575,4.98,15.3,504000
1.10E+17,6.421,9.14,17.8,453600
1.10E+17,7.185,4.03,17.8,728700
11010219531004310X,6.998,2.94,18.7,701400
1.10E+17,7.147,5.33,18.7,760200
1.10E+17,6.43,5.21,18.7,602700
1.10E+17,6.012,12.43,15.2,480900
1.10E+17,6.172,19.15,15.2,569100
1.10E+17,5.631,29.93,15.2,346500
1.10E+17,6.004,17.1,15.2,396900
1.10E+17,6.377,20.45,15.2,315000
1.10E+17,6.009,13.27,15.2,396900
1.10E+17,5.889,15.71,15.2,455700
1.10E+17,5.949,8.26,21,428400
1.10E+17,6.096,10.26,21,382200
1.10E+17,5.834,8.47,21,417900
1.10E+17,5.935,6.58,21,485100
1.10E+17,5.99,14.67,21,367500
1.10E+17,5.456,11.69,21,424200
1.10E+17,5.727,11.28,21,382200
1.10E+17,5.57,21.02,21,285600
1.10E+17,5.965,13.83,21,411600
1.10E+17,6.142,18.72,21,319200
1.10E+17,5.813,19.88,21,304500
1.10E+17,5.924,16.3,21,327600
1.10E+17,5.599,16.51,21,291900
1.10E+17,5.813,14.81,21,348600
1.20E+17,6.047,17.28,21,310800
1.20E+17,6.495,12.8,21,386400
1.20E+17,6.674,11.98,21,441000
12010119630923008X,5.713,22.6,21,266700
1.20E+17,6.072,13.04,21,304500
1.20E+17,5.95,27.71,21,277200
1.20E+17,5.701,18.35,21,275100
1.20E+17,6.096,20.34,21,283500
1.20E+17,5.933,9.68,19.2,396900
1.20E+17,5.841,11.41,19.2,420000
12010219650925201X,5.85,8.77,19.2,441000
1.20E+17,5.966,10.13,19.2,518700
1.20E+17,6.595,4.32,18.3,646800
1.20E+17,7.024,1.98,18.3,732900
1.20E+17,6.77,4.84,17.9,558600
1.20E+17,6.169,5.81,17.9,531300
1.20E+17,6.211,7.44,17.9,518700
1.20E+17,6.069,9.55,17.9,445200
1.20E+17,5.682,10.21,17.9,405300
1.20E+17,5.786,14.15,17.9,420000
1.20E+17,6.03,18.8,17.9,348600
1.20E+17,5.399,30.81,17.9,302400
1.20E+17,5.602,16.2,17.9,407400
1.20E+17,5.963,13.45,16.8,413700
1.20E+17,6.115,9.43,16.8,430500
1.20E+17,6.511,5.28,16.8,525000
1.20E+17,5.998,8.43,16.8,491400
1.20E+17,5.888,14.8,21.1,396900
1.20E+17,7.249,4.81,17.9,743400
1.20E+17,6.383,5.77,17.3,518700
1.20E+17,6.816,3.95,15.1,663600
1.20E+17,6.145,6.86,19.7,489300
1.20E+17,5.927,9.22,19.7,411600
1.20E+17,5.741,13.15,19.7,392700
1.20E+17,5.966,14.44,19.7,336000
12010619630728705X,6.456,6.73,19.7,466200
1.20E+17,6.762,9.5,19.7,525000
12010619900122501X,7.104,8.05,18.6,693000
12010719750827212X,6.29,4.67,16.1,493500
1.20E+17,5.787,10.24,16.1,407400
12011019530110091X,5.878,8.1,18.9,462000
12011019710306032X,5.594,13.09,18.9,365400
1.20E+17,5.885,8.79,18.9,438900
1.20E+17,6.417,6.72,19.2,508200
1.20E+17,5.961,9.88,19.2,455700
1.20E+17,6.065,5.52,19.2,478800
1.20E+17,6.245,7.54,19.2,491400
1.20E+17,6.273,6.78,18.7,506100
1.20E+17,6.286,8.94,18.7,449400
1.20E+17,6.279,11.97,18.7,420000
1.20E+17,6.14,10.27,18.7,436800
1.20E+17,6.232,12.34,18.7,445200
1.20E+17,5.874,9.1,18.7,426300
1.20E+17,6.727,5.29,19,588000
1.20E+17,6.619,7.22,19,501900
1.30E+17,6.302,6.72,19,520800
1.30E+17,6.167,7.51,19,480900
1.30E+17,6.389,9.62,18.5,501900
1.30E+17,6.63,6.53,18.5,558600
1.30E+17,6.015,12.86,18.5,472500
1.30E+17,6.121,8.44,18.5,466200
1.32E+17,7.007,5.5,17.8,495600
1.32E+17,7.079,5.7,17.8,602700
1.33E+17,6.417,8.81,17.8,474600
1.33E+17,6.405,8.2,17.8,462000
1.40E+17,6.442,8.16,18.2,480900
1.40E+17,6.211,6.21,18.2,525000
1.42E+17,6.249,10.59,18.2,432600
1.43E+17,6.625,6.65,18,596400
14272519740501206X,6.163,11.34,18,449400
14272619711130002X,8.069,4.21,18,812700
1.50E+17,7.82,3.57,18,919800
1.50E+17,7.416,6.19,18,697200
1.50E+17,6.727,9.42,20.9,577500
1.53E+17,6.781,7.67,20.9,556500
2.10E+17,6.405,10.63,20.9,390600
2.10E+17,6.137,13.44,20.9,405300
2.10E+17,6.167,12.33,20.9,422100
21010219560825443X,5.851,16.47,20.9,409500
21010219691223565X,5.836,18.66,20.9,409500
21010219711127563X,6.127,14.09,20.9,428400
2.10E+17,6.474,12.27,20.9,415800
2.10E+17,6.229,15.55,20.9,407400
2.10E+17,6.195,13,20.9,455700
2.10E+17,6.715,10.16,17.8,478800
2.10E+17,5.913,16.21,17.8,394800
2.10E+17,6.092,17.09,17.8,392700
2.10E+17,6.254,10.45,17.8,388500
2.10E+17,5.928,15.76,17.8,384300
2.10E+17,6.176,12.04,17.8,445200
2.10E+17,6.021,10.3,17.8,403200
21010619771120091X,5.872,15.37,17.8,428400
2.10E+17,5.731,13.61,17.8,405300
